energy,productivity,fun,hunger
0.64882,0.570597,0.659521,0.79745
0.648755,0.570571,0.659455,0.79737
0.64869,0.570544,0.659389,0.79729
0.648625,0.570517,0.659323,0.79721
0.64856,0.570491,0.659257,0.797131
0.648495,0.570464,0.659191,0.797051
0.64843,0.570437,0.659125,0.796971
0.648366,0.570411,0.65906,0.796891
0.648301,0.570384,0.658994,0.796812
0.648236,0.570357,0.658928,0.796732
0.648171,0.570331,0.658862,0.796652
0.648106,0.570304,0.658796,0.796573
0.648041,0.570278,0.65873,0.796493
0.647977,0.570251,0.658664,0.796413
0.647912,0.570224,0.658598,0.796334
0.647847,0.570198,0.658532,0.796254
0.647782,0.570171,0.658467,0.796175
0.647718,0.570144,0.658401,0.796095
0.647653,0.570118,0.658335,0.796015
0.647588,0.570091,0.658269,0.795936
0.647523,0.570065,0.658203,0.795856
0.647458,0.570038,0.658137,0.795777
0.647394,0.570011,0.658072,0.795697
0.647329,0.569985,0.658006,0.795617
0.647264,0.569958,0.65794,0.795538
0.6472,0.569932,0.657874,0.795458
0.647135,0.569905,0.657808,0.795379
0.64707,0.569878,0.657743,0.795299
0.647005,0.569852,0.657677,0.79522
0.646941,0.569825,0.657611,0.79514
0.646876,0.569799,0.657545,0.795061
0.646811,0.569772,0.65748,0.794981
0.646747,0.569745,0.657414,0.794902
0.646682,0.569719,0.657348,0.794822
0.646617,0.569692,0.657282,0.794743
0.646553,0.569666,0.657217,0.794663
0.646488,0.569639,0.657151,0.794584
0.646423,0.569612,0.657085,0.794504
0.646359,0.569586,0.65702,0.794425
0.646294,0.569559,0.656954,0.794345
0.646229,0.569533,0.656888,0.794266
0.646165,0.569506,0.656822,0.794187
0.6461,0.569479,0.656757,0.794107
0.646036,0.569453,0.656691,0.794028
0.645971,0.569426,0.656625,0.793948
0.645906,0.5694,0.65656,0.793869
0.645842,0.569373,0.656494,0.79379
0.645777,0.569346,0.656428,0.79371
0.645713,0.56932,0.656363,0.793631
0.645648,0.569293,0.656297,0.793551
0.645583,0.569267,0.656232,0.793472
0.645519,0.56924,0.656166,0.793393
0.645454,0.569214,0.6561,0.793313
0.64539,0.569187,0.656035,0.793234
